id,cluster,observacio,name,elegir,geometry
411,126,NA,8,izquierda,"c(-89.7251308511319, 14.6399324984698)"
430,126,NA,9,derecha,"c(-89.7250025043355, 14.6415077364913)"
440,126,NA,10,derecha,"c(-89.724239553935, 14.6405487973205)"
481,126,NA,11,izquierda,"c(-89.7248765343317, 14.6419653582628)"
503,126,NA,12,izquierda,"c(-89.723243677867, 14.6410777091323)"
534,126,NA,13,izquierda,"c(-89.7228705214406, 14.6423654890795)"
538,126,NA,14,izquierda,"c(-89.7224807274665, 14.6422850030544)"
568,126,NA,15,derecha,"c(-89.7254612252928, 14.6424413758762)"
577,126,NA,16,izquierda,"c(-89.7249929971654, 14.6430622668625)"
591,126,NA,17,izquierda,"c(-89.7242561914827, 14.6430024774366)"
595,126,NA,18,derecha,"c(-89.725525398691, 14.6434899907416)"
577,126,NA,19,izquierda,"c(-89.7245532905483, 14.6442212586667)"
614,126,NA,20,izquierda,"c(-89.7245169640393, 14.6405745177117)"
26,130,NA,1,derecha,"c(-89.7223045548533, 14.6474161616128)"
60,130,NA,2,izquierda,"c(-89.7204791745452, 14.649811361809)"
110,130,NA,3,derecha,"c(-89.7249627649269, 14.647211961307)"
115,130,NA,4,derecha,"c(-89.7252080504058, 14.6472671505976)"
154,130,NA,5,izquierda,"c(-89.72318872344, 14.6461247294494)"
213,130,NA,6,derecha,"c(-89.7236108426362, 14.6482329609338)"
225,130,NA,7,derecha,"c(-89.7256758041097, 14.6493588144686)"
272,130,NA,8,izquierda,"c(-89.7228521689456, 14.6496457958173)"
283,130,NA,9,izquierda,"c(-89.7250939641366, 14.6504515491338)"
390,130,NA,10,izquierda,"c(-89.7215972199839, 14.6506060768286)"
886,130,NA,11,derecha,"c(-89.7256371079397, 14.6509934196296)"
909,130,NA,12,izquierda,"c(-89.724099323176, 14.6504760293147)"
934,130,NA,13,derecha,"c(-89.72424430752, 14.651232568518)"
955,130,NA,14,derecha,"c(-89.7242965969556, 14.6534055921305)"
961,130,NA,15,izquierda,"c(-89.7242229163873, 14.6528468166882)"
1014,130,NA,16,izquierda,"c(-89.7227778265321, 14.6523685221737)"
1032,130,NA,17,derecha,"c(-89.7221598604756, 14.6505335171878)"
1041,130,NA,18,derecha,"c(-89.7216512268753, 14.6503633530398)"
1121,130,NA,19,derecha,"c(-89.7159343023761, 14.6518322056813)"
1170,130,NA,20,izquierda,"c(-89.7224847431355, 14.6473609707606)"
9,143,NA,1,derecha,"c(-89.841512089361, 14.6597558407873)"
20,143,NA,2,derecha,"c(-89.8442786813906, 14.6608816351147)"
22,143,NA,3,derecha,"c(-89.8441817080617, 14.661118934161)"
24,143,NA,4,derecha,"c(-89.8441132563001, 14.6614445301083)"
28,143,NA,5,derecha,"c(-89.8442444555098, 14.6616542357164)"
33,143,NA,6,derecha,"c(-89.8447692523484, 14.6617921998228)"
43,143,NA,7,derecha,"c(-89.8437938147462, 14.6626586124238)"
52,143,NA,8,izquierda,"c(-89.8448776343042, 14.6622943884359)"
53,143,NA,9,derecha,"c(-89.8446722790195, 14.6623330182815)"
71,143,NA,10,izquierda,"c(-89.8441931166886, 14.6622392029303)"
77,143,NA,11,derecha,"c(-89.8448605213638, 14.6627469090569)"
78,143,NA,12,izquierda,"c(-89.8448091825426, 14.6629069466136)"
79,143,NA,13,derecha,"c(-89.8447464350945, 14.6630393913997)"
85,143,NA,14,izquierda,"c(-89.8445467841233, 14.6635029475202)"
94,143,NA,15,izquierda,"c(-89.8432062704596, 14.6628407241905)"
106,143,NA,16,izquierda,"c(-89.8420597034535, 14.6621895359634)"
119,143,NA,17,izquierda,"c(-89.8409644752687, 14.6608043749047)"
121,143,NA,18,derecha,"c(-89.8429210547864, 14.6630062802107)"
130,143,NA,19,izquierda,"c(-89.840451087057, 14.66194120096)"
159,143,NA,20,derecha,"c(-89.844358541779, 14.6658262318628)"
7,73,NA,1,derecha,"c(-89.9560857552674, 14.6570097903092)"
9,73,NA,2,derecha,"c(-89.9570840101233, 14.6569049353069)"
27,73,NA,3,derecha,"c(-89.9603297644837, 14.6574623218487)"
58,73,NA,4,derecha,"c(-89.9601072962586, 14.6594766277254)"
66,73,NA,5,izquierda,"c(-89.9605465283952, 14.6598850052885)"
88,73,NA,6,derecha,"c(-89.9622578224341, 14.6576996245995)"
109,73,NA,7,izquierda,"c(-89.96119682013, 14.6584170499569)"
111,73,NA,8,izquierda,"c(-89.9616075306993, 14.6585936466076)"
115,73,NA,9,derecha,"c(-89.9622121879264, 14.6590461748751)"
138,73,NA,10,derecha,"c(-89.9624688820322, 14.6604092726655)"
151,73,NA,11,derecha,"c(-89.9599989143029, 14.6618882517649)"
174,73,NA,12,izquierda,"c(-89.9633017117979, 14.663957702022)"
187,73,NA,13,izquierda,"c(-89.9592345362989, 14.6643219232432)"
211,73,NA,14,derecha,"c(-89.9574319732447, 14.6653538800798)"
238,73,NA,15,izquierda,"c(-89.957694371664, 14.6659829850696)"
244,73,NA,16,izquierda,"c(-89.958002404591, 14.6662864999884)"
246,73,NA,17,izquierda,"c(-89.9579624743967, 14.6664741271822)"
257,73,NA,18,izquierda,"c(-89.9577057802909, 14.6665844960447)"
261,73,NA,19,izquierda,"c(-89.9577000759775, 14.6669045654312)"
275,73,NA,20,izquierda,"c(-89.9581164908602, 14.6672798185987)"
6,108,NA,1,derecha,"c(-90.0715821724315, 14.5751120711844)"
7,108,NA,2,izquierda,"c(-90.0722210555393, 14.5757027896273)"
13,108,NA,3,derecha,"c(-90.0676519004556, 14.5754985226813)"
14,108,NA,4,izquierda,"c(-90.067360980469, 14.5748525962277)"
16,108,NA,5,derecha,"c(-90.0681709929807, 14.5762990271973)"
17,108,NA,6,izquierda,"c(-90.0682337404288, 14.5764204828008)"
18,108,NA,7,derecha,"c(-90.0682793749365, 14.5765143348122)"
21,108,NA,8,derecha,"c(-90.0682508533692, 14.5769173459361)"
26,108,NA,9,derecha,"c(-90.0681824016079, 14.5773590011157)"
27,108,NA,10,derecha,"c(-90.0695172109582, 14.5773700424839)"
29,108,NA,11,izquierda,"c(-90.0681367671003, 14.5779828375485)"
30,108,NA,12,derecha,"c(-90.0675035883059, 14.5775743076948)"
32,108,NA,13,izquierda,"c(-90.0672126683193, 14.5785404243694)"
33,108,NA,14,derecha,"c(-90.067492179679, 14.5789047872722)"
39,108,NA,15,izquierda,"c(-90.0674636581116, 14.5805940983104)"
41,108,NA,16,derecha,"c(-90.0672240769462, 14.5803125473703)"
56,108,NA,17,izquierda,"c(-90.0722438727934, 14.579975789891)"
58,108,NA,18,izquierda,"c(-90.0718673881048, 14.5802683824844)"
59,108,NA,19,izquierda,"c(-90.0715878767452, 14.5800475579216)"
60,108,NA,20,izquierda,"c(-90.0719529528068, 14.579467892391)"
2,113,NA,1,izquierda,"c(-89.9649413186404, 14.6136982216343)"
6,113,NA,2,izquierda,"c(-89.9652493515674, 14.6135160690655)"
7,113,NA,3,izquierda,"c(-89.9656600621367, 14.6138196565962)"
8,113,NA,4,derecha,"c(-89.9658768260483, 14.6137810182065)"
21,113,NA,5,derecha,"c(-89.9742792797791, 14.6156908504805)"
23,113,NA,6,izquierda,"c(-89.9737601872539, 14.6156301335249)"
30,113,NA,7,derecha,"c(-89.973132712773, 14.6159337181348)"
35,113,NA,8,derecha,"c(-89.9732125731615, 14.6166236815973)"
46,113,NA,9,derecha,"c(-89.9739427252848, 14.6186990786304)"
56,113,NA,10,derecha,"c(-89.973611875104, 14.6195711811074)"
63,113,NA,11,derecha,"c(-89.974969612, 14.6203494468498)"
70,113,NA,12,izquierda,"c(-89.9735662405963, 14.6205205545511)"
72,113,NA,13,izquierda,"c(-89.9742507582118, 14.6205978289531)"
76,113,NA,14,derecha,"c(-89.9701721740859, 14.6212215427741)"
78,113,NA,15,derecha,"c(-89.9703033732956, 14.6211056314901)"
79,113,NA,16,derecha,"c(-89.9703604164302, 14.6212601798552)"
80,113,NA,17,izquierda,"c(-89.9702691474148, 14.6213319344164)"
82,113,NA,18,izquierda,"c(-89.9736632139251, 14.6213816106373)"
83,113,NA,19,derecha,"c(-89.9735491276559, 14.6212822581842)"
84,113,NA,20,derecha,"c(-89.9741880107637, 14.6209290046538)"
4,127,NA,1,izquierda,"c(-89.8106847000087, 14.7392152824436)"
6,127,NA,2,derecha,"c(-89.8023392894128, 14.7404178993273)"
7,127,NA,3,izquierda,"c(-89.8022366117704, 14.7408206090013)"
10,127,NA,4,izquierda,"c(-89.8017346321857, 14.7413226159083)"
17,127,NA,5,derecha,"c(-89.8032633881937, 14.7416811915619)"
22,127,NA,6,derecha,"c(-89.8092529173297, 14.7411516026964)"
24,127,NA,7,derecha,"c(-89.809367003599, 14.7414494965917)"
25,127,NA,8,izquierda,"c(-89.8096294020182, 14.7411074702328)"
